,id,sku,name,type,alc,ibu,price,currency,price_estimate,rating_count,rating_value,rating_best,section,country,brewery,url,last_modified
0,f-527f4e5bd187e40109004a67,527f4e5bd187e40109004a67,Sa Bona Birra Maó,American Pale Ale,4.5 º,38 IBU,0,€,,,3.5,5,Cervezas,España,Sa Bona Birra,https://birrapedia.com/sa-bona-birra-mao/f-527f4e5bd187e40109004a67,2015-02-10
1,f-5835752f1603da572356bb57,5835752f1603da572356bb57,Montseny / Against The Grain / La Black Flag Licoranise,Imperial Stout,10.5 º,65 IBU,0,€,,1,3.9,5,Cervezas,España,Companyia Cervesera del Montseny,https://birrapedia.com/montseny--against-the-grain--la-black-flag-licoranise/f-5835752f1603da572356bb57,2018-12-20
2,f-54dde182f70fb5000497f540,54dde182f70fb5000497f540,La Mola Soulvespa,Pale Ale,5.5 º,,0,€,,,3.5,5,Cervezas,España,La Mola,https://birrapedia.com/la-mola-soulvespa/f-54dde182f70fb5000497f540,2015-02-13
3,f-581ca5c11603da1d65a2239a,581ca5c11603da1d65a2239a,Garage Beer Co Factory Reset,Sweet Stout,7 º,,0,€,,,3.5,5,Cervezas,España,Garage Beer Co,https://birrapedia.com/garage-beer-co-factory-reset/f-581ca5c11603da1d65a2239a,2017-01-13
4,f-5d1dd6941603da176f8b4911,5d1dd6941603da176f8b4911,Nuclear Pigs Stronzio,Imperial IPA,8.5 º,,0,€,,,3.5,5,Cervezas,España,Nuclear Pigs,https://birrapedia.com/nuclear-pigs-stronzio/f-5d1dd6941603da176f8b4911,2019-07-04
5,f-5d68d0841603da78498b45f0,5d68d0841603da78498b45f0,La Típica 3 Suave,Ale,2.7 º,,0,€,,,3.5,5,Cervezas,España,La Típica,https://birrapedia.com/la-tipica-3-suave/f-5d68d0841603da78498b45f0,2019-09-04
6,f-527f4e4fd187e401090011c2,527f4e4fd187e401090011c2,La Petra Rubia,American Pale Ale,4.5 º,,0,€,,1,3.5,5,Cervezas,España,Sesma Brewing,https://birrapedia.com/la-petra-rubia/f-527f4e4fd187e401090011c2,2013-03-20
7,f-527f4e4fd187e40109001231,527f4e4fd187e40109001231,La Burra By Secala,Pale Ale,4.5 º,,0,€,,2,3.05,5,Cervezas,España,Menade,https://birrapedia.com/la-burra-by-secala/f-527f4e4fd187e40109001231,2015-11-18
8,f-527f4e4fd187e401090012cd,527f4e4fd187e401090012cd,Guinea Pigs 95 Wood Aged Imperial IPA,Imperial IPA,7.5 º,95 IBU,0,€,,1,4,5,Cervezas,España,Yria-Guinea pigs!,https://birrapedia.com/guinea-pigs-95-wood-aged-imperial-ipa/f-527f4e4fd187e401090012cd,2013-04-09
9,f-527f4e50d187e40109001375,527f4e50d187e40109001375,Quimera (Yria-Guinea pigs! - El oso y el cuervo),White IPA,9.5 º,84 IBU,0,€,,5,4.28,5,Cervezas,España,Yria-Guinea pigs!,https://birrapedia.com/quimera-yria-guinea-pigs--el-oso-y-el-cuervo-/f-527f4e50d187e40109001375,2013-05-04
10,f-527f4e50d187e40109001384,527f4e50d187e40109001384,Múrtiga Cerveza Artesana,Pale Ale,,,0,€,,,3.5,5,Cervezas,España,Múrtiga,https://birrapedia.com/murtiga-cerveza-artesana/f-527f4e50d187e40109001384,2013-04-10
11,f-527f4e50d187e4010900138e,527f4e50d187e4010900138e,Wieninger Weihnachtsbier,Oktoberfest-Marzen,5.7 º,23 IBU,0,€,,4,2.95,5,Cervezas,Alemania,Private Brewery MC Wieninger,https://birrapedia.com/wieninger-weihnachtsbier/f-527f4e50d187e4010900138e,2012-12-12
12,f-527f4e50d187e40109001463,527f4e50d187e40109001463,Mondas y Lirondas,Belgian Dubbel,,,0,€,,,3.5,5,Cervezas,España,Aspaym Castilla y León,https://birrapedia.com/mondas-y-lirondas/f-527f4e50d187e40109001463,2013-04-09
13,f-527f4e50d187e4010900146d,527f4e50d187e4010900146d,Castellón 2. 0,English Pale Ale,,,0,€,,4,1.03,5,Cervezas,España,Unknown,https://birrapedia.com/castellon-2-0/f-527f4e50d187e4010900146d,2012-10-21
14,f-5757f5ae1603da3d51c0067e,5757f5ae1603da3d51c0067e,Spoh IPA,India Pale Ale,6 º,60 IBU,0,€,,,3.5,5,Cervezas,Chile,Spoh,https://birrapedia.com/spoh-ipa/f-5757f5ae1603da3d51c0067e,2016-06-08
15,f-5763c68d1603da970369db88,5763c68d1603da970369db88,Nuevo Origen / Crafter Caballo Loco,Black IPA,6 º,55 IBU,0,€,,,3.5,5,Cervezas,Argentina,Nuevo Origen Microcerveceria,https://birrapedia.com/nuevo-origen--crafter-caballo-loco/f-5763c68d1603da970369db88,2017-07-05
16,f-5b7c21c71603da8e3f8b50c9,5b7c21c71603da8e3f8b50c9,Almogàver Vicious IPA,American IPA,5.3 º,40 IBU,2.57,EUR,2.57,1131,3.68,5,Cervezas,España,Cerveses Almogàver,https://birrapedia.com/almogaver-vicious-ipa/f-5b7c21c71603da8e3f8b50c9,2018-08-22
17,f-5bfee9ed1603da33588b4580,5bfee9ed1603da33588b4580,7 Mares Coralito,Session IPA,4.1 º,40 IBU,56,MXN,,53,3.35,5,Cervezas,México,7 Mares,https://birrapedia.com/7-mares-coralito/f-5bfee9ed1603da33588b4580,2018-11-28
18,f-527f4e50d187e401090014ad,527f4e50d187e401090014ad,Bayura Rup,Black IPA,7 º,150 IBU,0,€,,2,3.35,5,Cervezas,España,Bayura,https://birrapedia.com/bayura-rup/f-527f4e50d187e401090014ad,2015-03-05
19,f-527f4e50d187e401090014e0,527f4e50d187e401090014e0,D’Orcau Llum Clara.,No Definido,,,0,€,,,3.5,5,Cervezas,España,Cerveses D`Orcau,https://birrapedia.com/d-orcau-llum-clara/f-527f4e50d187e401090014e0,2019-08-29
20,f-527f4e50d187e401090015ca,527f4e50d187e401090015ca,IKEA Öl Ljus Lager,Lager,4.7 º,,0,€,,1,1.5,5,Cervezas,Suecia,IKEA,https://birrapedia.com/ikea-ol-ljus-lager/f-527f4e50d187e401090015ca,2013-03-28
